"review_id","company","product","review_text","sentiment_label"
"Cyndy","Amazon","Electronics","Disappointed Very disappointed that in order to get to my books, I have to get through ads. Didn't have this on my first Kindle Fire.","somewhat negative"
"Musiciconic","Amazon","Electronics","Alright product for reading online books. There was a lot of proprietary stuff that takes away from the actual usage of the device.","neutral"
"Chomie19","Amazon","Electronics","Great Tablet We had purchased this for our daughter. The parental control/profile features are great for her. Totally recommend!","very positive"
"RCZon","Amazon","Electronics","A great tool to use to read and surf the internet. I love using it to read and surf the internet. It is also very handy.","very negative"
"scratcher36","Amazon","Electronics","GREAT REPLACEMENT NEW LARGER SCREENIS GREAT FOR WATCHING PRIME MOVIES AND READING BOOKS","very positive"
"nikki3284","Amazon","Electronics","Great starter tablet I bought this for my kids, 5 and 9. I wanted to get them a tablet but still restrict what they could do. This tablet has fantastic parental controls. I opted to include the FreeTime membership and that puts them into a kid-specific app center where they just click and play without the visible hassle of downloading, fees, and ads. It's been very sturdy with the 5 year old. Overall I am extremely satisfied for a kids tablet. Not sure I would buy one for me personally, but great for kids.","somewhat positive"
"Cricket","Amazon","Electronics","Great for reading books on I purchased this to upgrade from my old kindle as it wasn't connecting to the Internet quick enough. I am happy with the connection and speed of this product.","somewhat positive"
"Kevin","Amazon","Electronics","Works great I Ive used this for a month now. It works great 75 percent of the time. Alexa doesnt always understand you. The mic doesnt hear you when your 20 feet away.","neutral"
"3137299399","Amazon","Electronics","Kind of slow I like the price point for this tablet but for being a quad core processor, it runs kind of slow.","neutral"
"TJinFlorida","Amazon","Electronics","Hopefully more experience will helpl I'm not sure who needs more experience...Alexa or me. After one month, The Echo has been a little fickle. At times it's providing excellent service in answering questions, and there's other times that it doesn't understand the question. Maybe it's how we're are asking or it's not programmed to be intelligent enough. More time will tell. All in All, we're having fun with Alexa.","somewhat positive"
"Buckaroo","Amazon","Electronics","My Kindle Paperwhite I have enjoyed my Kindle Paperwhite very, very much. It is an excellent eReader for me as my eyesight isn't what it used to be and the backlight really helps is keeping the text readable especially in low light situations. It was a wonderful Christmas present from my dear spouse.","very positive"
"Rakeishan","Amazon","Electronics","I like it I purchased this item for my 7yr old daughter. We like it but we can't get the pictures of the apps to show","neutral"
"Smithseanjohn","Amazon","Electronics","Price is right For the price tag of $59 bucks u can't go wrong....","somewhat positive"
"Wardb1985","Amazon","Electronics","Kindle tablet Bought this for my son for Christmas has been the biggest problem I have ever seen I would never give this to anyone again it's better being a paper weight","neutral"
"Tony","Amazon","Electronics","This is slow I will not recommend this one, do slow and I ended up returning this product","somewhat negative"
"Jax113","Amazon","Electronics","It's alright It freezes up a lot but it's great for reading. Not meant for other apps.","neutral"
"Nascarphillyfan","Amazon","Electronics","Nice Tablet Okay this tablet has its limits. It's not an IPad. But for 50 bucks it does a lot. If you have Amazon Prime it's awesome. If you don't, it's still nice. It's fast and has good battery life. You can side load apps if you can't find them in the Amazon App Store. Overall I'm impressed with the features.","somewhat positive"
"Skorepo","Amazon","Electronics","Gets very loud. The one thing i had an issue with,is I would leave my amazon speaker on playing since it's always listening. But,at times it would just cut off by itself,without my command. Another issue would be if I'm on the phone and what I'm saying may sound close to the command according to the speaker itself, it would automatically light up for me to command it to do something. Don't know if i like the idea of it listening all the time.","somewhat negative"
"Techguy","Amazon","Electronics","Fun device I use this device in my office to stream music and keep up on the news. Overall a good experience so far.","somewhat positive"
"Robert","Amazon","Electronics","Not for me I didnt realize, even though I should have, that I could not add whatever programs I wanted to for it. I wanted to get this so I could play games on the tablet while home, instead of my phone. I was able to install one of the two games I play, but was unable to with the second. I will actually be returning it because that means I have no use for it. My wife has one and hers has been great for her this entire time.","neutral"
"Averageconsumer","Amazon","Electronics","Great except I know it has Bluetooth but I think it should have had a auxiliary port for older speaker's","somewhat positive"
"clown","Amazon","Electronics","mediochre device pretty much you get what you pay for... not bad, but not great, but an inexpensive fix for the cause","neutral"
"Boogie","Amazon","Electronics","Good value tablet Pretty good value tablet. Works like expected and has some good apps. Only downside with memory at 8gigs.","somewhat positive"
"Rogue","Amazon","Electronics","nice product It's small and fairly open platform with wide array of third party services","somewhat positive"
"Pharmhawk09","Amazon","Electronics","Decent tablet for the price For the price the tablet works well. The biggest issue I've had is the battery life length. The battery seems to not last as long as my previous iPad mini.","neutral"
"smartshopper","Amazon","Electronics","good enough for readingand many other things Camera a little lower quality and cpu speed a little slower than fire HD but a good price","somewhat positive"
"Ducky","Amazon","Electronics","Easy to use with voice recognition Easy to setup and use and now with voice search. I recommend it with even 4K content. Best Buy had it on sale as well.","somewhat positive"
"PhoneUser","Amazon","Electronics","FireHD 8 The headphone jack restarts the tablet when you plug the headphone cord into it. That is why I am giving the product only 2 stars. Otherwise, the screen is great.","somewhat negative"
"gr","Amazon","Electronics","Five Stars very happy with this item, protects well, looks good, and was easy to install","very positive"
"MrsNawlins","Amazon","Electronics","Very Unsatisfied When I first saw this product it was a must have for me. I researched this product for weeks and was happy with what I had read. After getting the product home I must say it was OVER RATED!. This product is not user friendly, only 1 user can register, Alexa does not have the answers to much. I returned it after 5 days. Very unsatisfied","somewhat negative"
"love2golf","Amazon","Electronics","Good for getting basic information, playing music Alexa is entertaining for music, questions etc. I was hoping for something more advanced, like being able to reminder for an appointment 15min before the appt. is schedule. You can set a reminder for 15 minutes....but only from the time you ask alexa...good for cooking but not much else","neutral"
"Grams","Amazon","Electronics","Great product. This was a gift bought because I have had one for years and am completely happy with everything about it.","very positive"
"tykiza","Amazon","Electronics","Not sure I had wanted a Fire for about 3 Years but didn't pick one up but this time I did. Wasn't what I thought it would be like.","neutral"
"Grumpy","Amazon","Electronics","Excellent E-reader. I purchased the Kindle Fire as a replacement for my Nook Tablet. My hope was that it would be a reasonable replacement for what I essentially was primarily using as an E-reader. It has surpassed all of my expectations at a much more reasonable cost.","very positive"
"funfam3","Amazon","Electronics","Great for home and travel Guys, the Tap does everything Echo does and it's portable! Use it at home for everything, at work on your desk for music, weather, etc, and even poolside as a portable speaker.","very positive"
"Kjkj","Amazon","Electronics","OK don't like the setup Okay don't like the setup. I like Android way better. Cannot download you tube. It is for my six year old who has lost 3 3ds xls if he can keep this one from damage's for 6 months he gets an up grade.its very small","somewhat negative"
"123456","Amazon","Electronics","Good product but hard to setup for Grandson This looked easy, but hard to setup if no experience with other than Apple products","neutral"
"Sekh","Amazon","Electronics","Decent for price Works great as a reader, OK for apps. Battery lasts ages while reading, but dies quickly if I am gaming.","neutral"
"Edward","Amazon","Electronics","Great choice It makes it the perfect gift,Not too big,Not too small...perfect","very positive"
"Maggo","Amazon","Electronics","Good Device but I did not like it It is good device with respect to Technology and automating house hold electronics.. But Personally I like Google Home more than Amazone Echo.","somewhat negative"
"Slboss","Amazon","Electronics","Disappointed I got this to replace the iPad for a child. I am so disappointed by the charge. It dies so quickly and the charger has to be wrapped around the tablet in order for it to charge. This was after 2 weeks of having the tablet. Low price but not worth the hassle and disappointment!","somewhat negative"
"Shreetanu","Amazon","Electronics","for kids and entry level great tablet for kids but a lot of ads , for someone who wants a cheap tablet that more or less can do all stuff this is a good choice","somewhat positive"
"octubre68","Amazon","Electronics","great tablet for beginner I BOUGHT THIS TABLET FOR MY GRANDSON IN HIS BIRTHDAY, AND HE IS SOOO HAPPY","somewhat positive"
"Anonymous","Amazon","Electronics","Not a big fan of Amazon fire tabs... Not a big fan of Amazon fire tabs...got one as gift from grandparents and it memory on 8GB gets full too quick and no way to expand","somewhat negative"
"DavidVB","Amazon","Electronics","Wonderful and FUN The Amazon Echo is awesome. It is VERY easy to set up. I mostly play pandora music, but it works with Amazon music and Audible.","very positive"
"SCHO","Amazon","Electronics","Not as good as I think.. Amazon Tap.. got it on Black Friday sale.. But so far feel not as easy as I think to use.. But if you just use as Bluetooth speaker and sound is good.. Maybe just have to learn how to use it more..","neutral"
"senela","Amazon","Electronics","Works as expected. I previously owned the previous model. There is very little difference between this and the older model. (Apart from the 4K, which only works with Netflix at this time). I still hate the ugly interface!, I wish Amazon would allow users to use their own skins","somewhat negative"
"Longfellow","Amazon","Electronics","Amazing Paperwhite!!! I bought this new paperwhite after using the regular kindle for a long time. I am amazed by the light weight and the ease of use. The battery makes a huge difference as well. Love it!!!!","very positive"
"TheDoctor1701","Amazon","Electronics","Works great The product is easy to use and loads everything quickly. The voice command works great and the 4k picture looks fantastic","very positive"
"Anonymous","Amazon","Electronics","no good I bought this tablet because of the price and the specs seemed fine but it is slow it freezes and crashes I dont think it was a good buy","very negative"
"Frig","Amazon","Electronics","Perfect Perfect addition to our kitchen and can't have picked a better product for our home!","very positive"
"Vidapita","Amazon","Electronics","Second one for the Office We have one at home to we thought it would be fun to have at the office to place music. However you can only stream 1 Alexa per music account which is annoying. They should have a subscription package like Netflix that allows more then one device to stream for a higher cost per month if needed.","somewhat positive"
"Miki","Amazon","Electronics","fun Just ask or command the machine does it...getting really lazy now LOL","neutral"
"rhines4","Amazon","Electronics","AWSOME!!! Must have!!! Movies, sports, and much more at the click of a button (you must have wifi to use)","very positive"
"Aliray","Amazon","Electronics","Horrible Bought this for my daughter(3) and she can't even use it because it is NOT kid friendly. It is so incredibly slow!! It freezes often and does not seem to work without wifi like it is supposed to. Also was supposed to come with a year free of Amazon free time and we have been charged for it every month !( it requires you to put a card number in before initial use. ) Keep calling Amazon and the foreign people can't seem to figure out the problem. Don't buy!","very negative"
"ace1647","Amazon","Electronics","Happy Buy Its exactly what I am wanted and the price was fair","somewhat positive"
"Bill","Amazon","Electronics","Great streaming device with 4K I had an Apple TV but replaced it with this Fire tv on my main tv because it offered the same features but added 4K which a comparable Apple tv did not. It works flawlessly and I couldn't be happier.","very positive"
"caroleeann","Amazon","Electronics","i do not like the fire I do not like the layout. I want to remove stuff from the screen and can't . I don't like some of the lock out features like playing songs for the kids. i do not like all the advertisements. I don't like the screen doesn't go dark when i want it to such as when music is playing. I liked the samsung","very negative"
"GrandmaAnnette","Amazon","Electronics","Great tablet for 3 year old! My granddaughter had been using her parents' iPad and loves using apps for learning. I thought it would be nice for her to have her own tablet. My daughter loves the parental limits that can be set and my granddaughter loves not having to share with her parents!","very positive"
"TheBrowns","Amazon","Electronics","The best for reading e-books One of my major issues with e-book ls is using screens and the annoying glare. While the paper white still isn't a printed page it does a good job of getting close. With the backlight optional it retains the benefit of being able to read at night too. I love my iPad but prefer the Kindle Paperwhite for all my e-books.","very positive"
"CheChe","Amazon","Electronics","Love my new Kindle Paperwhite! I've sat on my back deck and in the bright sunshine on a beach and had no issues seeing the print. Never thought I'd like an e-reader, only a real paperback book. But, I must say, I am sold. Very lightweight.","very positive"
"metacuate","Amazon","Electronics","good, but missing key feature I understood it did not have the wake command. But it would be better if it had it.Other than that, everything is wonderful with this speaker! Really convenient to be able to listen to my podcasts without messing with my phone or apps, just ask Alexa and she plays the most recent episode!","somewhat positive"
